round,shot_number,shot_made_flag
1,1,1
1,2,1
1,3,1
1,4,1
1,5,0
1,6,0
1,7,0
1,8,1
1,9,1
1,10,0
1,11,1
1,12,1
1,13,0
1,14,0
1,15,1
1,16,0
1,17,1
1,18,1
1,19,0
1,20,0
1,21,0
1,22,1
1,23,1
1,24,0
1,25,1
1,26,1
1,27,1
1,28,0
1,29,1
1,30,0
1,31,0
1,32,1
1,33,1
1,34,1
1,35,1
1,36,0
1,37,1
1,38,1
1,39,0
1,40,1
1,41,0
1,42,0
1,43,1
1,44,0
1,45,1
1,46,0
1,47,1
1,48,1
1,49,0
1,50,1
1,51,1
1,52,1
1,53,1
1,54,1
1,55,0
1,56,0
1,57,1
1,58,1
1,59,1
1,60,1
1,61,0
1,62,0
1,63,0
1,64,0
1,65,1
1,66,1
1,67,1
1,68,1
1,69,0
1,70,0
2,1,1
2,2,1
2,3,1
2,4,1
2,5,0
2,6,0
2,7,0
2,8,1
2,9,1
2,10,1
2,11,1
2,12,0
2,13,0
2,14,1
2,15,0
2,16,0
2,17,1
2,18,1
2,19,1
2,20,1
2,21,0
2,22,0
2,23,1
2,24,1
2,25,0
2,26,1
2,27,1
2,28,1
2,29,1
2,30,1
2,31,0
2,32,1
2,33,1
2,34,1
2,35,0
2,36,1
2,37,0
2,38,1
2,39,1
2,40,0
2,41,0
2,42,1
2,43,0
2,44,1
2,45,1
2,46,1
2,47,0
2,48,1
2,49,1
2,50,0
2,51,1
2,52,0
2,53,0
2,54,0
2,55,0
2,56,1
2,57,0
2,58,1
2,59,1
2,60,0
2,61,0
2,62,0
2,63,1
2,64,0
2,65,0
2,66,1
2,67,1
2,68,1
2,69,1
2,70,1
3,1,1
3,2,1
3,3,1
3,4,1
3,5,1
3,6,1
3,7,0
3,8,1
3,9,1
3,10,0
3,11,0
3,12,1
3,13,1
3,14,1
3,15,1
3,16,1
3,17,1
3,18,1
3,19,1
3,20,1
3,21,1
3,22,0
3,23,1
3,24,1
3,25,1
3,26,1
3,27,1
3,28,1
3,29,1
3,30,0
3,31,0
3,32,1
3,33,1
3,34,1
3,35,1
3,36,0
3,37,0
3,38,1
3,39,0
3,40,0
3,41,0
3,42,0
3,43,0
3,44,1
3,45,1
3,46,0
3,47,0
3,48,1
3,49,1
3,50,1
3,51,1
3,52,1
3,53,1
3,54,0
3,55,1
3,56,0
3,57,0
3,58,0
3,59,0
3,60,1
3,61,1
3,62,1
3,63,1
3,64,1
3,65,0
3,66,1
3,67,0
3,68,1
3,69,1
3,70,0
4,1,1
4,2,1
4,3,1
4,4,0
4,5,1
4,6,0
4,7,0
4,8,1
4,9,1
4,10,1
4,11,1
4,12,0
4,13,1
4,14,0
4,15,1
4,16,0
4,17,1
4,18,1
4,19,1
4,20,1
4,21,1
4,22,1
4,23,1
4,24,1
4,25,1
4,26,1
4,27,1
4,28,1
4,29,1
4,30,1
4,31,0
4,32,1
4,33,1
4,34,1
4,35,1
4,36,1
4,37,1
4,38,1
4,39,0
4,40,1
4,41,1
4,42,1
4,43,0
4,44,1
4,45,1
4,46,1
4,47,1
4,48,1
4,49,0
4,50,0
4,51,1
4,52,1
4,53,0
4,54,1
4,55,1
4,56,0
4,57,0
4,58,1
4,59,1
4,60,0
4,61,1
4,62,1
4,63,0
4,64,1
4,65,1
4,66,1
4,67,0
4,68,0
4,69,1
4,70,1
5,1,1
5,2,1
5,3,1
5,4,1
5,5,1
5,6,1
5,7,1
5,8,1
5,9,1
5,10,1
5,11,1
5,12,0
5,13,0
5,14,1
5,15,1
5,16,0
5,17,1
